,detalhe,link,preco,titulo
0, 1 quarto | 30 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/aluga-kitnet-ambiente-familiarno-soledade-pertinho-do-jj-636208744,"
 R$ 380
",Aluga Kitnet ambiente familiarno Soledade pertinho do JJ
1, 2 quartos | 46 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-2-4-barcas-por-tras-extra-maria-lacerda-636203776,"
 R$ 750
",Apartamento 2/4 Barcas - Por trás Extra Maria Lacerda
2, 2 quartos | 59 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/residencial-estrela-do-atlantico-ponta-negra-rn-580293019,"
 R$ 1.800
 R$ 200.000
",Residencial Estrela do Atlântico (Ponta Negra-RN)
3, 2 quartos | 59 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/estrela-do-atlantico-residencial-na-praia-de-ponta-negra-rn-558709146,"
 R$ 1.800
 R$ 255.000
",Estrela do Atlântico / Residencial na Praia de Ponta Negra-RN
4, 2 quartos | 55 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/locacao-no-cond-quatro-estacoes-por-tras-do-natal-shopping-636195245,"
 R$ 1.440
","Locação no Cond. Quatro Estações, por trás do Natal Shopping"
5, 2 quartos | 49 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/kitinete-em-parnamirim-636190509,"
 R$ 1.100
",Kitinete em Parnamirim
6, 1 quarto | 45 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-mobiliado-capim-macio-3-quartos-prox-unp-636165931,"
 R$ 35.000
","Apartamento mobiliado Capim Macio, 3 quartos - Prox UNP"
7, 1 quarto | 0 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-central-park-2-4-mobiliado-cond-agua-gas-neopolis-pronto-para-morar-636162845,"
 R$ 300
",Alugo Central Park 2/4 Mobiliado- cond. água+gás- Neopolis Pronto Para morar
8, 1 quarto | 35 m² | Condomínio: R$ 0 | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/sua-chance-de-veranear-em-janeiro-de-2020-no-melhor-de-pirangi-636159759,"
 R$ 800
",Sua chance de veranear em Janeiro de 2020 no melhor de Pirangi
9, 3 quartos | 95 m² | 2 vagas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-em-petropolis-636156312,"
 R$ 2.800
",Apartamento em Petrópolis
10, 2 quartos | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/aurea-guedes-apartamentos-de-2-quartos-em-ponta-negra-rn-599769302,"
 R$ 500
",Áurea Guedes - Apartamentos de 2 Quartos em Ponta Negra-RN
11, 2 quartos | 67 m² | 1 vaga,https://rn.olx.com.br/rio-grande-do-norte/imoveis/alugo-apartamento-3-4-com-bela-vista-andar-alto-totalmente-mobiliado-em-ponta-negra-636153564,"
 R$ 2.100
",Alugo apartamento 3/4 com bela vista andar alto totalmente mobiliado em ponta negra
12, 3 quartos | 105 m² | 2 vagas,https://rn.olx.com.br/rio-grande-do-norte/imoveis/apartamento-riviera-ponta-negra-2-quartos-636153446,"
 R$ 16.000
","Apartamento Riviera Ponta Negra, 2 quartos"
